Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,131.93620238865157,132.0251311983447,125.25638676961194,127.87495422363281,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,127.36111525106323,130.17731478194196,126.90656510459308,129.45596313476562,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,126.20499154865102,129.49549302789094,124.88088265615151,125.09827423095703,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,126.83738889326119,130.06860423773435,126.34331991425624,129.3670196533203,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,130.85910951047873,131.05674917483645,128.6852089026492,130.48362731933594,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,127.65756599320112,128.62593712794208,126.9757482787132,127.4500503540039,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,126.97573423146943,128.15162087532002,125.3551884988642,127.27217864990234,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,127.23266325132808,129.89075729741413,126.96587680582036,129.33740234375,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,129.24845487171834,129.446079458387,127.23264488544548,127.38087463378906,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,127.25241219438774,128.67533334652097,125.4935277362757,125.63186645507812,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,126.26428789333389,127.18326418630201,125.43425549037575,126.3136978149414,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,127.13384674172072,130.91841733048415,127.02515095173256,130.4638671875,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,132.2128688496932,138.01323414771815,132.00535323321492,135.24644470214844,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,134.66345080633056,138.19111084440948,133.41840230466207,137.4203643798828,114459400,0.0,0.0
2021-01-25 00:00:00-05:00,141.3729154203613,143.36894338821304,134.92036020235494,141.2246856689453,157611700,0.0,0.0
2021-01-26 00:00:00-05:00,141.89663620075575,142.58832985036992,139.69307739712596,141.46185302734375,98390600,0.0,0.0
2021-01-27 00:00:00-05:00,141.72862212681903,142.5883124155993,138.74445630654063,140.3748779296875,140843800,0.0,0.0
2021-01-28 00:00:00-05:00,137.86503541275516,140.30573778756866,135.07847866309783,135.46385192871094,142621100,0.0,0.0
2021-01-29 00:00:00-05:00,134.21878838992654,135.11799760226708,128.6654575703892,130.3946990966797,177523800,0.0,0.0
2021-02-01 00:00:00-05:00,132.16348534449838,133.77415544873054,129.37692836008148,132.54885864257812,106239800,0.0,0.0
2021-02-02 00:00:00-05:00,134.11997594936716,134.6930978390031,133.0132661364373,133.38876342773438,83305400,0.0,0.0
2021-02-03 00:00:00-05:00,134.14964587324073,134.15953690571126,132.02515462756315,132.3512420654297,89880900,0.0,0.0
2021-02-04 00:00:00-05:00,134.68320244345577,135.77014511630367,132.99347995433752,135.76026916503906,84183100,0.0,0.0
2021-02-05 00:00:00-05:00,135.92357526918795,135.99284044101842,134.4490440365577,135.33969116210938,75693800,0.205,0.0
2021-02-08 00:00:00-05:00,134.61726304530578,135.53761240857673,133.51879031513556,135.48812866210938,71297200,0.0,0.0
2021-02-09 00:00:00-05:00,135.20116929479607,136.4480936083948,134.4391767701785,134.59750366210938,76774200,0.0,0.0
2021-02-10 00:00:00-05:00,135.06260888491136,135.56732204184615,133.00420851429243,133.9839324951172,73046600,0.0,0.0
2021-02-11 00:00:00-05:00,134.48861589241844,134.9735324745745,132.3807470972342,133.72662353515625,64280000,0.0,0.0
2021-02-12 00:00:00-05:00,132.9547154005953,134.12245327373245,132.3015662002038,133.964111328125,60145100,0.0,0.0
2021-02-16 00:00:00-05:00,134.0828791521382,134.59746783952386,131.4109078200318,131.8067626953125,80576300,0.0,0.0
