Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-04 00:00:00-05:00,364.46022694420174,364.59619393382894,354.2734899898634,358.12872314453125,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,357.4586703250057,361.73146560236614,357.4100979846538,360.59527587890625,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,359.0221422596851,366.08199470269454,358.44920197121417,362.7511291503906,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,365.227412386187,368.9175471540739,365.0429026842574,368.14068603515625,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,369.5876065707011,370.46158274803236,366.19850767138945,370.2382507324219,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,366.9268710540275,369.5779314622749,366.8006244373765,367.7425842285156,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,367.9367767905989,368.8787068502239,365.47988748581815,367.8202209472656,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,367.74252374835936,369.8497750270491,366.92681070802615,368.81072998046875,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,369.58762471358597,370.1120222998681,367.1696169226884,367.5191955566406,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,365.82946104947956,366.66458521770295,362.8967764304867,364.8389587402344,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,367.4026689099865,368.2669543684895,365.85863734115287,367.7037048339844,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,370.0926044842619,373.66624312019667,369.68476271933093,372.7922668457031,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,373.3748223451632,373.8215456063089,372.17067881677826,373.1320495605469,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,371.1996091728723,373.02526536055854,370.80145822680436,371.8114013671875,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,372.57855366677796,373.6467302209369,367.5191474499561,373.2777404785156,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,374.26823122839056,374.69551369100583,372.4522955799504,372.695068359375,42665300,0.0,0.0,0.0
2021-01-27 00:00:00-05:00,369.2282799120271,369.32539495453733,361.25562983228724,363.58624267578125,123351100,0.0,0.0,0.0
2021-01-28 00:00:00-05:00,365.4798301089604,370.888814617926,365.02344574446994,366.713134765625,94198100,0.0,0.0,0.0
2021-01-29 00:00:00-05:00,364.7709684512449,365.78091153139655,357.62372227414437,359.3717041015625,126765100,0.0,0.0,0.0
2021-02-01 00:00:00-05:00,362.916189401069,366.4315346576487,359.67274848380066,365.3536376953125,75817600,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,368.6747387026601,372.14154112221127,365.441018304529,370.5198059082031,64450700,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,371.3841280068641,372.6077124255952,369.4807975163341,370.8111877441406,52427100,0.0,0.0,0.0
2021-02-04 00:00:00-05:00,371.8890606990591,375.07423850442746,370.9276899382021,375.02569580078125,47142600,0.0,0.0,0.0
2021-02-05 00:00:00-05:00,376.9776248711543,377.2398088328103,374.97717932128427,376.50177001953125,48669800,0.0,0.0,0.0
2021-02-08 00:00:00-05:00,378.01665198321683,379.26936790004544,377.1232646957452,379.2208251953125,38365200,0.0,0.0,0.0
2021-02-09 00:00:00-05:00,378.34684065806226,379.58986588490654,377.91958778052526,378.9683532714844,35551100,0.0,0.0,0.0
